id,exp_comment,sentiment_score
1620,It is very concerning because it seems the government doesn’t even know what is going on outside their office. This really has to be looked into.,2
1622,Good,7
1623,"what a travesty, makes no sense to do this to people",1
1626,?,99
1627,not kindly open the app,2
1628,Its a good brand,6
1629,no way!!,1
1630,This makes me so happy that inflation has come down for like people who struggle,7
1631,Hopefully prices keep going down,5
1632,Reeves out,2
1633,Taxes need to come down,3
1635,"The cost of living is increasing, how do I go about my daily living",3
1639,boiii mustard u sussy boi,99
1641,Things seem hopeless for young people nowadays. Working hard isnt enough any more.,2
1647,Id probably right that if it can’t be proven with facts then it’s just words,4
1649,I am so done with the cost of living,1
1653,"thank god inflation has come down, it shows how the economy is slightly improving",6
1655,It hasn’t changed enough,3
1656,Never leave comments,99
1657,They believe everything will be ok,5
1661,Changes should be made,4
1662,At least some of us feel hopeful,5
1666,Thanks for raising awareness not many people know this statistic.,6
1667,cool,6
1668,They should lower everything,3
1669,It's not good and it needs to be sorted tbh. It's making people fear for the future generations.,2
1671,I’m so glad to see some positive trends in inflation. It is crucial that this momentum continues to benefit everyday people.,6
1672,Please bring down the inflation people are struggling family’s,2
1673,Very concerned how I will ever buy a house in fhis markwt,2
1675,N/A,99
1679,Good something needs to change,5
1681,The Anxiety is justified. High prices and job/housing insecurity are crippling young people's future.,2
1682,so stressful,2
1685,they should reduce the cost of living,4
1690,Nothing,99
1698,"I think the country is facing serious challenges like the rising cost of living, a struggling NHS, and a lack of affordable housing—issues that are making it harder for young people to build stable lives",2
1701,????,99
1703,Inflation is down.,6
1709,Very good,7
1710,Things are improving and there's hope for the future,6
1712,The more they raise the prices the more normal people struggle and we have to sacrifice eating or heat,1
1713,We need to sort this out,3
1714,"It's sad that prices increased, but however it's alright inflation recently came down. These information helps me quite alot",5
1716,People who don't have jobs are struggling with the cost of living because there is no way you can get everything you need,2
1726,i wouldnt comment,99
1727,I don’t think this is true,3
1728,AAAAAGH OMG OMGOMG,4
1730,Crazy how all they want is to see people suffer by increasing tax,1
1731,We need a higher income tax on the top 1%,4
1732,N/A,99
1734,X,99
1736,im not sure,99
1738,And they will keep rising,3
1739,No comment,99
1741,Interesting,5
1748,So good it’s finally starting to come down,6
1749,I wouldn't.,99
1754,The uk needs to sort themselves out,3
1759,Quite interesting and informing,6
1767,The cost of living shouldn’t be anywhere near as much as it is nowadays,2
1769,Everyone has options,4
1770,This is a lie,1
1772,not happening,2
1779,Worried,2
1782,The cost of living is really limiting the potentials of the young,2
1784,Prices are extortionate,1
1785,i wouldnt leave one,99
1786,This is very accurate,6
1788,Not sure,99
1790,Damn,2
1792,Not surprised,4
1793,No comment,99
1798,i’m not sure,99
1802,Na,99
1805,I’m not sure,99
1808,What bullshit,1
1809,Things need to change in this economy,3
1810,Agree withh it cost of loving us actually gone bad,3
1812,The cost of living is really getting out of hands.,2
1813,the red text draws people in.,5
1814,I totally agree.,6
1817,I think the cost of living is a massive issue. Young people are struggling to get decent jobs and equally struggling to find somewhere to live.,2
1819,I wouldn’t comment on a post like this,99
1820,Nice post,6
1826,Optimistic,6
1827,How,99
1830,What percentage has the inflation dropped by? A drop in inflation does not mean inflation is no longer happening,3
1831,The working class suffers whilst mps take all our money :(,1
1832,"""Finally we all dont have to worry""",6
1833,"despite the cost of living coming down relative to inflation, the cumulative effective of inflation over the last three years has been unbearable for many",2
1838,We need to do something about this,4
1840,At last the uk is heading rightly,6
1843,Use of statistics is useful,6
1845,The cost of living is still rising so we'll just have to live with it,3
1846,I’m anything but hopeful,1
1853,idk,99
1854,Not much don't like social media it's not informative it's fearful and war mungering,2
1857,We have to keep faith and protest for change.,5
1860,Lol,99
1861,Not sure,99
1863,It would be so useful,6
1865,If we were listened to then together we could create a promising future.,5
1868,Its hard to live when our grandparents could afford things on their salary but i doubt ill even make it to buy a house,2
1870,Joke they are !,2
1872,This is very interesting,6
1874,I hope they keep working harder to make inflation go lower,6
1876,I hope inflation stops for a little while so we can save up for the next wave of inflation,2
1878,I agree,99
1879,What are they gonna do about it,3
1880,This is so fake,1
1882,i worry ill never own a home,2
1884,"Good for the, can't relate?",4
1887,The world is scary,2
1889,Finally!,6
1890,That I don’t care,4
1891,Inflation needs stopped,3
1892,Everything would get better by the grace of God,6
1893,inflation is getting worse overtime,2
1894,Work a full days work and earn some hard earned cash instead of complaining and working part time,2
1896,im excited,7
1897,Nice,6
1898,Shush,99
1899,Me personally I would not leave a comment,99
1900,It is doomed,1
1903,Informative posts like this are helpful,6
1908,don't know,99
1911,Since youngsters are hopeful there will be a bright future,6
1913,We need help,2
1914,I would not leave a comment,99
1915,The country is going wrong,2
1917,this gives me hope,6
1920,(facepalm emoji),2
1922,uh oh,2
1925,I thought it was more than that tbh but still not great,3
1927,Whether cost of living is very expensive in uk but the future opportunities are wide.,6
1928,The government needs to fix this bro i can hardly afford diapers for my baby,2
1929,I'm not hopeful,2
1933,Help those of us uk citizens who are already struggling before others,2
1943,Things is not going well for the economy,2
1950,It's quite good that responsibilities are being taken by authorities and rulers.,6
1951,"how they are right, how we can turn things to make things better",5
1953,"Was bound to happen. Let’s be real, what can we do about it other than move with the times and adapt?",4
1962,It's a shame it's come to this,2
1963,good to see inflation coming down after the past few years which have been a strain on me financiallly,6
1972,Government need to do better to improve the standard of living in the country,3
1974,i dont leave comments under posts like these,99
1975,It is good to be able to keep up with the recent developments,6
1976,Idk,99
1977,I wouldn’t get my hopes up,2
1980,Na,99
1986,20% is a large increase,3
1990,Our government needs to raise the minimum wage to align with the rest of the world,6
1992,unacceptable,1
1998,"I feel anxious about the coming years,because we don’t know what our faith entails for now. I hope the government is doing something about it before we are all left stranded.",2
2000,Things will get better soon,6
2003,Things will get better don’t worry,6
2009,It was fun and we were going,6
2011,I like it,6
2012,"It's nice to hear, but looking at the actual lifespan of the financial crisis we are in, it probably isn't as good as it seems. A decrease in inflation is good but ""for the first time in months"" when we have been in a financial crisis for 3 years+ doesn't mean anything. It's fluctuating - so yes, it will go down... but it will go back up. We need longevity. Overall it's great but how long will this last before it shoots up again?",3
2017,Cost of living crisis is no joke,2
2019,None,99
2023,Not sure,99
2024,Not sure,99
2025,"I agree, it is worrying. It is good news that the inflation rates are starting to come down, hopefully this continues, as it’s vital that they do!",5
2026,We need lower taxes their making it hard for people on the barrier of the %40 tax bracket to live as half of their moneys being taken .,2
2028,Prices are so bad and inflation is always changing making it harder to purchase items,2
2030,There is no reason other than blame the government,2
2031,Fuck the government making us pay more for basic human needs like they ain't going on yats,1
2032,Prices are going to keep increasing unless there's something done to lower the rate of inflation,3
2035,Cool,6
2036,This is amazing and shocking as well,6
2042,It is a disgrace with the way this is being handled,1
2045,Everyone is really struggling right now and I worry about my children and future grandchildren with what the world will be like when they grow up,2
2049,"It’s useful to see that inflation has gone down a little, it means perhaps the situation of the cost of living may not be this dire forever.",5
2051,Young people should always stay hopeful,7
2058,I would not comment,99
2059,"Except the inflation has already done it's damage, and young people aren't getting hired, so what money can we use to live?",2
2060,With the way things are going 2026 isn't gonna be easy,2
2064,The issue should be resolved soon,5
2066,I would say “people like young children and adults don’t have to worry about the outcome the country is going to have if the government keep doing their job and protecting their country”,5
2071,I would suggest they increas the wages,4
2072,Hope for the best as giving up is not a solution,6
2075,They’ll still be hiking prices,2
2077,Who did you poll for this,4
2078,Some hope apart from the cost of living,5
2081,Things will get better if we continue as we are,6
2084,We need to act now! The government needs to help young people stay in the uk,6
2085,I would say something like the cost of living problem is getting out of control.,2
2088,nothing,99
2089,"We are in a cost of living crisis and it’s not getting any easier, so many families are struggling to put food on the table or to keep their house warm. And it’s getting worse and worse",1
2094,tell em bestie,99
2095,Good to see it’s coming down ?,6
2098,Hmm,99
2100,Good to see that inflation has come down,6
2106,i think it’s concerning and government should provide ways to get the more future jobs,4
2108,"the way things are going rn, i feel uncertain for the future of the uk",2
2109,There is hope for the future but we have to push for what we need and have a day in our future,6
2111,"It'll be okay, hopefully prices and inflation get sorted out once the government realise everyone is suffering",5
2115,its useful to see these statistics,6
2120,N/A,99
2121,Yes I am optimistic,7
2128,I don’t know why the prices go up,4
2129,i hope things get better for you guys. hang in there,6
2131,Cost of living is ruining us at this rate I’m never going to be a home owner,2
2133,Things are bad we need help,1
2134,Currently going through hard Financial Times but I’m hoping a miracle happens,3
2141,worried for the future but staying optimistic,5
2144,It will get better if inflation came down again,5
2147,"The UK economy has'nt been favourable for some years now, however the country seems to make a bit of progress compared to before",5
2152,Brixit was the problem,2
2154,I am sure things will get better,6
2156,It’s about time they solved the problem of the cost of living but I wouldn’t be surprised if the prices are still rising.,4
2162,Tax the rich,4
2163,Nice things would surely get better,6
2165,Feeling optimistic,6
2168,Thank god maybe there’s hope,6
2170,i agree with this,5
2173,"And they’re still surprised why there’s been a rise in people going on welfare. It’s making me, aswell as many other people, extremely worried about our futures.",2
2174,Finally,4
2177,I'm worried about how to afford a lot of things nowadays. Even the bear necessities.,2
2180,Need to work on our economic,3
2183,That doesnt actually reflect what people think,3
2185,Prices are a nightmare,1
2188,At least there is a tinker of hope that the current living situation and economic situations will not be pressuring,5
2189,Interesting topic,5
2192,I dont leave comments,99
2199,it’s really becoming so bleak,2
2203,The should amidst lovely crisis,99
2204,Honestly the high cost of living is really worrying and settling fear in people's mind,2
2206,Lower the housing prices,3
2207,These reports are useful to see an accurate insight to the living costs of the UK atm,6
2212,"More needs to be done. Major companies, that are owned by billionaires, aren’t getting taxed",3
2213,We need a priminister thats a uk version of Trump.,4
2217,"I believe young people’s resilience and creativity will keep driving progress—tough times don’t last, but hopeful minds do.",7
2219,This is goodnews,6
2220,There in no hope for young people,1
2233,"The cost of living crisis needs to be sorted out!! People are struggling to survive, it should not be like this.",2
2236,It's encouraging to see young people staying optimistic.,6
2247,Can’t even afford Christmas,1
2249,Follow up by asking if they have a full report available to read with verifiable stats,4
2252,Inflation is a major problem that needs to solved first,3
2253,Prices will turn eventually if people try to change it,4
2255,Probably a fluke as the general trend still shows a rise in inflation and cost of living.,3
2257,It’s a good view,6
2260,It's a good thing you can do this for you,5
2262,UK is going down hill.,1
2263,Everything is awful,1
2264,I hope the government can take better action to create a better economic future for the coming generations,5
2265,It's a great one,7
2266,The country is falling apart,1
2267,"Young people are being squeezed from every angle—rising costs, stagnant wages, and uncertainty. We need real solutions, not just promises",3
2269,Hopefully it stays on the same route of decreasing inflation.,6
2270,i’m not sure about that,4
2273,Let's just focus on what's best for us,4
2277,"We need more comparison on Fred’s over the years, particularly positive ones",5
2280,It's not enough,2
2281,Nothing,99
2282,Good communication,6
2284,Let's see what hopeful leads us to,5
2286,Lets see if it gets back down too pre covid inflation levels then be optimistic,3
2289,It shouldnt be because they should consider the pure. Even if it will rise it should be a gradual process,4
2292,I wouldn’t leave a comment,99
2294,It's a good news,6
2295,things are awful and i’m worried about the future for our children,1
2296,It is a mssive probelm prices increase but wages stay the same so loads of familys end up in poverty,2
2298,"I’m worried about the price off things and the inflation , I honestly wish and pray things keep getting  better",4
2300,"great, thanks for the post!",7
2303,"We can just hope for a better future. Change is brought about by individuals holding those in power responsible, we didn’t end up here by accident.",4
2304,Things are not so good now but they is hope ahead,5
2305,"?It’s been a tough few years with prices rising so fast, but the recent easing of inflation gives me some hope. There’s still a lot of work to do to make life fairer and more affordable, but I’m optimistic that positive change is possible if we keep pushing for better policies and opportunities for everyone.",6
2308,“Ts is BS”,1
2311,im worried about what's next,3
2318,None yet,99
2320,Hmmm,99
2322,The uk is a joke,1
2324,"If the decrease in inflation isn't materially benefitting working families, the problem isn't over",3
2325,It's interesting to see how trends can differ over time.,4
2326,The worls honestly is falling apart at the seems its time for change people,2
2330,this gives me hope for young people for the future,7
2333,And yet farage wants to decrease minimum wage like thats gonna help,2
2335,n/a,99
2338,Rubbish,1
2341,Sounds like good news! Whys it coming down though?,5
2342,"Even though prices are coming down, there is still a cost of living crisis. General shopping like food and clothing is still at a high rate of price that people cannot afford",2
2343,I wouldn’t,99
2344,No,99
2345,I don’t left comments,99
2350,Things are getting really though for the common man. Somethings needs to be donr about this.,2
2358,I’d say it’s absolutely ridiculous,1
2359,Things are really getting out of hand and I fear for the future generations,2
2360,I guess we have to Work harder then,4
2376,inflation is going down but prices are still rising??,2
2380,"I dont think I would leave a comment, not too much going on here.",99
2382,It interesting on how different trends are developing same time,5
2383,Nothing,99
2388,"It not easy, but we have to keep working hard to achieve our goals",6
2390,great to see the wonder,6
2394,NONE,99
2395,Are there steps or measures that could be put in place and if so how would we be able to achieve these,4
2397,"the uncertainty makes it hard for young people to live there lives, start families, have financial freedom",2
2399,It’s a concern,3
2404,I am really looking forward to the things the government will do in the nearest future,6
2412,It is a great information to know at least one can understand how things are going with it,6
2422,The cost of living crisis is ruining our country.,2
2423,Finally,4
2426,"Rising costs are clearly hitting people hard. Hopefully the recent dip in inflation is a sign things will stabilize, but real support and long-term solutions are still needed.",3
2427,"Rightfully so, the cost of living has become dire",2
2429,interesting!,6
2430,The government is not certain of what's good for the country anymore,2
2431,I pray inflation go down quickly,4
2432,Interesting,5
2434,We need to lower the prices of things now,3
2439,The cost of living is a joke,1
2440,Yay. They didn’t consult many people did they ?,2
2441,Oh no,2
2443,Doesn’t seem like it but it sounds good,4
2446,"We all need to work harder to get by, also demand a fare deal from the government",4
2447,I usually don't comment,99
2455,Its helpful,6
2460,I honestly wish it shouldn't affect employment opportunities for upcoming college graduates,4
2461,What’s happening to this country,2
2462,THIS IS GOOD NEWS FOR EVERYONE,7
2465,probably nothing,4
2467,"Things are bad and won’t get any better, the lefties are ruining our country",1
2471,All because of illegal immigration,2
2473,reports like these are really useful and understanding!,7
2474,VOTE REFORM,4
2477,I dont get how prices are still climbing then,3
2481,im not sure,99
2483,Not sure,99
2486,The world has a lot of digital assets and means to make extra money online. I believe things can get better with time,6
2487,I don’t think it’s come down at all if anything I think it’s got worse in the last year too,2
2490,as a young person myself i am already struggling with the cost of living and cutting down on how much i eat to get by,2
2491,Im worried about inflation rn but I’m hoping it’ll get better soon,3
2498,"The best hope is for wages to increase, prices never come down",3
2499,Optimistic,6
2501,They are nice,6
2507,I would say there very bad at the minute I don’t enjoy paying for overpopulation,2
2510,Raising concern,2
2512,"""I completely agree – the rising cost of living is overwhelming. It's hard to plan for the future when basic needs are becoming unaffordable.""",2
2513,The economy is bad,2
2515,The idea is scary,2
2516,This information is helpful because it gives latest information on the issues in the UK.,6
2517,They should lower the prices they are so many issues in the world why make another,2
2518,I’m concerned and know the government will do nothing to help we are screwed,1
2519,That this is great news.,7
2524,This is fake,2
2533,hopefully it keeps going down!,2
2539,Call for improvement,3
2545,thanks for the update,6
2546,Something needs to be done,3
2554,It's a good thing that the government is doing something about the cost of living,6
2558,Nothing,99
2559,I'll believe it when I see it. The rich get richer.,2
2560,Bad times,2
2561,Nasayer will esqusire,99
2562,true,99
2564,I think the cost of living crisis is an absolute joke at the end of the day we are ok to give 1.7 Millon to forraners but can't afford to live for our selfs,2
2567,Lets focus on issues like this opposed to immigration,4
2569,We need the deflate,4
2578,this feels quite sad which is true in my opinion,2
2591,I know the government needs to do more to help those struggling,5
2594,What,99
2595,Nothing,99
2604,I wouldn’t,99
2621,I hope it doesn't hinder job opportunities for the new college graduates,3
2622,Really hope it gets better,3
2623,This is fi e,99
2624,This is crazy something must be done,2
2626,Hopefully stays down,3
2631,I do not tend to leave comments on posts,99
2632,The government is fucking with our futures,1
2633,Seek for solution to the rising of cost of living. Good resesarch,6
2634,Good news,6
2638,The uk cannot feel hopeful if they are not doing enough to help people!,2
2639,I am not optimistic,2
2641,It is a sign of hooe,6
2642,I hope the good times last.,6
2643,Unsurr,99
2644,And the government do not care,2
2645,The main issue in UK,4
2651,I would write good things,5
2652,Damn that's crazy what do we do now,4
2655,I wouldn’t,99
2661,Yeah price of things are so high and is likely to be getting worse daily but I trust our government will find something to do about it,5
2665,This is a welcome development,6
2666,Well,99
2667,N/A,99
2668,"Its impossible to afford anything now a days, young people are never going to be able to afford homes and i dount it will change any time soon",2
2671,Nothing,99
2673,"prices have been high this past few years, it's about time inflation start to ease up. i hope this update last forever",6
2674,That things will get better if people want it or,5
2675,Omg!,4
2678,That's crazy,4
2679,It will be better if the statistics were made available to every one,5
2681,Nice,6
2683,Not gonna happen,2
2685,We’re all fuckrd,1
2686,Question everything.,4
2687,i don't know how the government could let this happen when so many people already struggle to live,2
2688,I’m concerned about the future,2
2694,wow,4
2697,girl i am NEVER buying a house???? we are cooked,2
2698,I agreed with this statement,5
2704,I wish can be better than they are now,3
2706,good,7
2713,never gonna own a home,1
2715,This is great but how true is it,4
2722,The prices might be bad now but soon they will get better,5
2726,I’m not sure,99
2727,swear down,99
2728,This is so bad I’m scared for my future,1
2731,I’m also worried about the future and how I can make a stable living and what makes good money to live on and what is least likely to get effected,3
2732,"Inflation has consistently going up, are the government doing anything about it, this is quite disturbing.",2
2735,This is good,6
2736,something needs to change,3
2737,Good to hear that,6
2739,Nothing,99
2740,Governement needs to do more to help this to happen,5
2741,I would not know,99
2744,"If it continues going this way, I think everyone should be concerned about their future.",2
2747,They should do a better job,3
2748,BS!,1
2750,Some people don’t know what’s happening as the news is confusing and the figures are always changing,3
2751,WOW,7
2752,Idk atill,99
2755,better shift down people are poor as hell nowadays,2
2758,Thank God inflation reduced at least.,5
2762,I hope we can turn things around with this issue,5
2763,I understand that its hard but we need to move through this,5
2765,scary to know how it could change so quickly,2
2783,we need way more,6
2784,this sucks,1
2787,upsetting!,1
2789,ew,1
2793,Whoaw,99
2794,I woudl've said that we'll have to wait and see if anything changes within the economy,4
2797,What are the actual statistics of this and for what price?,4
2799,Lower the prices,3
2803,"Sounds good, but why?",4
2805,I’m scared for my future,2
2810,i woudlnt comment,99
2814,the cost of living is getting so bad to the point we will have to pay to breathe,1
2816,"Even if inflation is coming down, if the cost of living continues to rise, it doesn’t make a difference. Cut wasteful spending instead of rising taxes.",2
2817,Innovation should help to improve things,6
2818,"Whilst it's good that it is coming down, the current effects of inflation are still causing people to struggle to keep afloat.",3
2819,Terrible,1
2822,yeah,99
2823,I hear you,4
2825,None,99
2829,Complete bullshit,1
2831,People are really stupid,1
2833,I wouldn’t comment,99
2839,thank my nation,7
2840,The cost of living is a big concern!,2
2841,20% is crazy is three years,2
2842,None,99
2843,So bad,1
2845,????,99
2850,not sure,99
2858,Nothing,99
2863,Nothing,99
2865,i like the way that the picture was taken,6
2872,Finally a change of inflation,5
2877,I wouldnt,99
2884,"i hope so, people are stuggling here",3
2890,That there is hope for young people today in the uk despite having faced inflation challenges,6
2892,Things are really bad at the moment and it doesn't look like it will get any better it is scary.,1
2899,not sure if i believe it tbh,3
2900,"This country is on the brink, its a shame to watch it crumble because of inadequate leadership",1
2904,Nothing,99
2906,Same,99
2917,n/a,99
2921,Housing prices have went up 80% since the 1970’s whilst income hasn’t even risen half of that so I doubt it,2
2923,Hopefully the inflation keeps going down to a point where we can all live comfortably,5
2929,No comments,99
2931,"I'm so scared for the future. I used to have so many dreams of a family and a home, but now I don't know how I'll even survive the next 5 years.",1
2935,Preach,6
2945,"I dont think there will be change anytime soon. We need to focus on renewable energy and be self-dependent on a every thing as much as possible, and then the inflation will fall",3
2946,Nothing,99
2950,i agree there’s always a positive outlook,6
2953,I'm really concerned for the future of the younger generations,2
2954,The economy is now a critical concern,2
2955,i would not comment on this post,99
2959,??? god do i hope this keeps up,6
2960,Not so much risine income for living in uk,3
2962,Good to see prices are becoming more reasonable ?,6
2963,They could be doing more,3
2964,We hope and desire a better UK and we are heading towards the right direction.,6
2974,Wouldn’t comment,99
2978,I totally agree that this is an upstanding issue,6
2986,All thanks to the government who are making sure to balance everything,6
2987,Are we sure this will be a consistent uptick or a fluke? Concerning,3
2989,God will make a way for us,7
2993,The UK is going to be great again.,7
2994,The pricing of housing and cost of living is astonishing how are people meant to afford to live,2
3002,This world is going to shit,1
3003,I do not believe it will get better,2
3005,Woke nonsense,1
3013,The government are trying to reduce the cost of living crisis which is credible,6
3014,It's a really concerning issue   I just hope things just get better from here and not worsen,3
3016,"Whilst inflation going down is great, the government needs to do something about the economy to maintain a reduction of inflation.",4
3020,I would saw that the government should help with inflation and we as young people should also keep hopeful that one day we would live peacefully in our future,6
3022,Things would eventually change in Jesus name,6
3025,The prices are still so high that the future is bleak due to the prices of living,2
3028,It getting better,6
3042,Nice,6
3047,good news but may not be permanent,5
3050,it is nice to know there is some relief in the cost of living crisis. This could benefit lots of people!,6
3056,It is partially correct,4
3057,good news,6
3059,Nothing,99
3061,Something needs to be done by the rulers.,3
3062,How are we expected to be the future if old folks keep wrecking the foundations,2
3067,Needs to be balanced,4
3075,U sure,99
3078,This is already becoming a huge problem . I hope we overcome this soon.,2
3079,ko,99
3081,No,99
3086,The cost of living is really scary these days,2
3089,Very optimistic,7
3090,This is definitely promising,6
3094,None,99
3096,Interesting,5
3097,What is our government doing ?,3
3104,What are the sources?,99
3105,This is interesting,5
3106,things are bad,2
3107,I don’t know,99
3115,Yes it’s a serious issue. Not everyone can afford such expenses,3
3116,This regime of government is really thinking long term for the UK,6
3118,Let's take the better step to making things right,5
3123,"Now, this is good news?",3
3131,"Glad inflation’s cooling off, but the cost of living still feels sky-high. Curious what’s actually changing behind the scenes.",5
3137,Change is finally happening.,6
3142,Good to see things are improving,6
3143,This is indeed stressing me out,2
3147,"""Two people have to work now to get by, it didnt used to be like that""",2
3153,"Yes, for certain I believe that things would turn back to normal.",6
3159,"Despite inflation easing, the lasting impact of rising living costs continues to leave many especially young people worried about the future.",2
3161,I am hopeful that thing would change in the country,6
3166,"This is a lie ,it’s still expensive to live in the uk and stressful aswell",2
3172,The future seems more uncertain as there are no trends indicating a stable economy is coming soon. Classes are showing without labels,2
3180,Not sure,99
3182,A positive response,7
3204,Prices will get worse,2
3205,These challenges are thanks to the Labour Party… labour my ass more like conservative in disguise,2
3210,are we gonna start taxing the rich more? only seems fair as they can afford it!,4
3216,Yay,7
3219,Cost of living is high,2
3225,Woa,99
3227,Dont know,99
3232,Striking,6
3234,Price increase to an extortionate rate,1
3235,This was written badly imo,2
3236,Yet prices of housing is still going up,3
3247,interesting,5
3253,no,99
3254,i doubt that’ll last long,3
3260,happy to finally have some changes,6
3261,Things are really bad for the country,1
3262,"It's a horrendous issue that should be tackled by the government immediately, but they're useless and standing idly by while it gets worse",2
3268,They came down? ?,99
3270,very informative,6
3271,"I'm beginning to think of what the UK government is really doing, Is there nothing they can do about this cost of living at least for our children.",2
3273,i am yet to see these benefits,3
3279,I agree,99
3286,I wouldn’t try to comment because I don’t know enough about it,99
3287,It’s no getting better,2
3289,none,99
3299,Doesn’t change anything we are still getting taxed crazy amounts and barely any increase in minimum wages,2
3302,I don't think I can survive this economy,1
3303,Fire post,7
3309,i feel let down massively.,1
3312,Very true,6
3314,Thank the lord,7
3315,Helpful!,7
3320,"We young generation, just have to hope for the future...",4
3328,This is serious,4
3332,baller,7
3333,this country is so cooked,2
3334,"I think it’s really important that this reason for “optimism” is made equally and fairly accessible to all. So much stigma, discrimination and disability rights issues (as well as other issues) that get over looked but are a part of everything. I’m so glad it seems things are improving - I just hope this means improvement for everyone, not just for people who are privileged.",5
3335,prices need to go lower!,2
3341,Let’s help to make the UK better,6
3343,All though thing are tough we can have our way of improving in the futer for us and for everyone else,6
3344,Highly disagree as it is at its peak right now,2
3346,Uk economy is like it's weather. Completely unpredictable.,3
3349,Let's keep it that way,5
3350,I wouldn’t,99
3353,I wouldnt comment,99
3356,It's getting so bad now,2
3357,It would be good to know why?,4
3358,i wouldn’t comment,99
3359,The government need to sort this out,3
3360,Rishi sunak said this would happen !,4
3362,I worry if I will  be able to own a home before 40,2
3373,It’s useful to see stuff like this online for someone who doesn’t listen to news,6
3374,inflation is getting so bad,1
3376,Im very scared for my future,2
3377,It can't keep going up but I'm working on budgeting with my money,4
3396,"The best news of inflation going down, this country finally hears us!",7
3399,I wouldn't,99
3401,This is worrying...,2
3403,"Despite inflation reducing, rising costs are still there and not coming down anytime soon.",3
3406,what sources are there to credit the information given,4
3414,Cost of living will forever be a huge concern no matter how good the government is.,3
3417,Never give up,7
3418,Hopefully things get even better.,6
3423,Seem okay but it can change in an instant,4
3424,This is really a good sign and I believe it wll mae the living condiion more optimized ad better. Can not wat for better changes,7
3426,Labour want to steal your money,1
3429,About how we are trying to improve,5
3430,No,99
3438,They are great,7
3440,I agree things are rlly bad,2
3444,I just dont connect with it,3
3458,I agree,99
3462,I feel like the price of everything increases dramatically every year and wages only go up by like 2p,2
3463,I wouldn't leave a comment.,99
3466,I really hope so from the stats,5
3474,Our country needs help more than ever,3
3489,It's so hard to get by these days everything going up and up in price,2
3492,"It’s tough out there, but I hope more awareness like this leads to action. We need leaders to step up and address these issues seriously",5
3497,hope can encourage people,6
3498,"Glad to hear it has decreased, but I'm not sure how accurate this is as it is just an Instagram post",4
3501,100% agree with you soo real bro,7
3504,This is just a lie,1
3505,"I believe this kind of issue can be swiftly resolved by the Labour government and it is quite saddening to see our food prices steadily rise, I wish this to be fixed ASAP and it must be soon.",3
3507,Inflation would stop if labour snd tories weren’t in office,2
3508,God help us all,1
3509,I am not optimistic about this country,2
3520,Can't wait to grow up into a hellhole,1
3522,Hopeful comment,6
3524,"It's very bad, I wish the government could fix this recession by ensuring a high quality reformation",2
3527,Good to be keeping an eye on these trends,6
3528,Remigration now,2
3530,Hopefully things go well,6
3532,the cost of living is rising day in day out,2
3536,We need to hope we can decrease it because it’s not fair on the younger people,3
3537,True this,5
3541,It's hard to survive no everything going up in price,2
3542,There is hope for the future,6
3549,nothing,99
3550,I believe everything would be fine soon,6
3557,omg things are really going downhill,2
3560,I love this,7
3567,Thank goodness,6
3568,it will get better soon,6
3570,about time prices stared to drop,6
3571,I wouldn't,99
3572,I pray and sincerely pray things change for the we the growing youths,5
3574,Cost of living crisis happend because the population crisis!,3
3576,I just wouldn't comment at all.,99
3577,I wouldn't comment,99
3580,Sources?,4
3588,Nothing,99
3589,The current high cost of living makes living difficult.,2
3615,Like,99
3616,"I wouldn’t personally comment, because I feel like it would just be something negative",99
3623,Hoep things get better in the years become,5
3624,I would say mr beast,99
3626,Days are getting tough,2
3631,Not really a reliable source as there is no stats,3
3632,Stupid!!,1
3633,The UK should take this matter seriously,4
3637,Its a lie,1
3642,Ts is boring fr,2
3644,None,99
3647,i wouldnt,99
3648,Things are going down in this country and we need to change it,2
3652,fucken finally,6
3653,It's very trustworthy,6
3654,"The rising cost of things leading to inflation has been my major concern about this great nation, however, i am still hopeful that things would get better",4
3655,I’m not sure,99
3661,Interesting however it is difficult to understand how it can change,4
3662,I am beryboverlwhene with this,99
3666,Happy prices are going down.  But how are we going to stop another shift up in prices and keep the economy stable?,5
3674,They increase minimum wages just to increase prices so it all matches the same way it was.,2
3675,I wouldn’t comment,99
3680,Negative,1
3686,Shocking,2
3692,Hopefully we can turn things around,5
3694,I wouldnt,99
3701,Not sure if i agree with what is on this post tbh,3
3706,Shit,1
3713,The uk government need to sort this!,3
3716,An emoji,99
3723,None,99
3726,The cost of living has to be reduced so as for people to cope with it.,3
3729,"I think it’s right, there is definitely things wrong in the world but there’s always hope",6
3734,Indeed the cost of living is killing,2
3738,good to see,6
3739,The government needs to do better for the economy.,3
3746,It's only natural to feel worried. This is the designed end result of the system we have.,3
3749,You should decrease cost of living so that everyone can afford the rents,3
3751,I am worried about how prices are going to rise in the future based on how much they have rised now,2
3753,The government should you their political power in fixing the issue of inflation as this is having a negative influence on its citizens,3
3762,I would leave a negative comment,2
3764,It would be a good thing if the cost of living drops and remains that way,6
3766,"Im not suprised, this keeps happening, interesting to find this has happened again…",3
3771,Good to see trends changing,6
3772,Something similar as the 2 posts about how the prices are very high,2
3778,If this keeps happening me and my friends will never own a house.,2
3784,Economy is going doown.,2
3786,Wow,4
3791,Finally starting to get better with prices coming down,6
